# nontransformed,transformed
1.8548e+03,7.5255e+00
5.1933e+02,6.2525e+00
6.6771e+02,6.5039e+00
1.0387e+03,6.9457e+00
3.8579e+03,8.2579e+00
3.7095e+02,5.9161e+00
2.2257e+03,7.7078e+00
2.9676e+03,7.9955e+00
2.0031e+03,7.6025e+00
3.7095e+02,5.9161e+00
2.9676e+02,5.6929e+00
5.9352e+02,6.3861e+00
5.9352e+02,6.3861e+00
1.7064e+03,7.4421e+00
8.1609e+02,6.7045e+00
4.0063e+03,8.2956e+00
2.5967e+03,7.8620e+00
6.6771e+02,6.5039e+00
3.7095e+02,5.9161e+00
5.9352e+02,6.3861e+00
2.9676e+02,5.6929e+00
8.1609e+02,6.7045e+00
1.4838e+02,4.9998e+00
2.9676e+02,5.6929e+00
2.2257e+02,5.4052e+00
5.9352e+02,6.3861e+00
7.4190e+02,6.6092e+00
4.4514e+02,6.0984e+00
2.2257e+03,7.7078e+00
5.9352e+02,6.3861e+00
3.7095e+02,5.9161e+00
8.1609e+02,6.7045e+00
2.2257e+02,5.4052e+00
5.1933e+02,6.2525e+00
